Range: 0 seconds to 4 minutes 16.1 seconds.

Call Paths:

[Process]/{Thread}/Code,# Total: Samples,% Total: Samples,# Self: Samples,% Self: Samples,# Process: Samples,% Process: Samples,Stack Depth,Location
com.YourCompany.SunTemple2 #32377,"50,766",99.82%,,,"50,766",100.00%,,-
"  Thread-6 #352","12,821",25.21%,,,"12,821",25.26%,,-
"    <unknown code in libc.so>","6,527",12.83%,205,0.40%,"6,527",12.86%,0,libc.so
"      <unknown code in libUnreal.so>","6,322",12.43%,"3,292",6.48%,"6,322",12.45%,0,libUnreal.so
"        <unknown code in libGLES_mali.so>","1,722",3.39%,"1,657",3.26%,"1,722",3.39%,0,libGLES_mali.so
"          <unknown code in libc.so>",65,0.13%,65,0.13%,65,0.13%,0,libc.so
"        <unknown code in libEGL.so>",472,0.93%,171,0.34%,472,0.93%,0,libEGL.so
"          <unknown code in libGLES_mali.so>",219,0.43%,143,0.28%,219,0.43%,0,libGLES_mali.so
"            <unknown code in libc.so>",76,0.15%,76,0.15%,76,0.15%,0,libc.so
"          <unknown code in libc.so>",82,0.16%,82,0.16%,82,0.16%,0,libc.so
"        <unknown code in libc.so>",463,0.91%,456,0.90%,463,0.91%,0,libc.so
"          <unknown code in [vdso]>",7,0.01%,7,0.01%,7,0.01%,0,[vdso]
"        <unknown code in libswappy.so>",231,0.45%,41,0.08%,231,0.46%,0,libswappy.so
"          <unknown code in libEGL.so>",97,0.19%,15,0.03%,97,0.19%,0,libEGL.so
"            <unknown code in libGLES_mali.so>",73,0.14%,24,0.05%,73,0.14%,0,libGLES_mali.so
"              <unknown code in libc.so>",49,0.10%,49,0.10%,49,0.10%,0,libc.so
"            <unknown code in libc++.so>",5,< 0.01%,2,< 0.01%,5,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"            <unknown code in libgui.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libgui.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libc.so>",79,0.16%,76,0.15%,79,0.16%,0,libc.so
"            <unknown code in [vdso]>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,[vdso]
"          <unknown code in libUnreal.so>",10,0.02%,10,0.02%,10,0.02%,0,libUnreal.so
"          <unknown code in libandroid.so>",3,< 0.01%,,,3,< 0.01%,0,libandroid.so
"            <unknown code in libcutils.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libcutils.so
"              <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libGLES_mali.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libGLES_mali.so
"        <unknown code in libGLESv3.so>",56,0.11%,56,0.11%,56,0.11%,0,libGLESv3.so
"        <unknown code in libGPUCounters.so>",44,0.09%,35,0.07%,44,0.09%,0,libGPUCounters.so
"          <unknown code in libc.so>",9,0.02%,9,0.02%,9,0.02%,0,libc.so
"        <unknown code in libandroid.so>",21,0.04%,3,< 0.01%,21,0.04%,0,libandroid.so
"          <unknown code in libcutils.so>",18,0.04%,8,0.02%,18,0.04%,0,libcutils.so
"            <unknown code in libc.so>",10,0.02%,10,0.02%,10,0.02%,0,libc.so
"        <unknown code in libheapprofd_standalone_client.so>",13,0.03%,13,0.03%,13,0.03%,0,libheapprofd_standalone_client.so
"        <unknown code in libGLESv2.so>",8,0.02%,8,0.02%,8,0.02%,0,libGLESv2.so
"    <unknown code in libGLES_mali.so>","6,239",12.27%,"4,732",9.32%,"6,239",12.29%,0,libGLES_mali.so
"      <unknown code in libc.so>",781,1.54%,781,1.54%,781,1.54%,0,libc.so
"      <unknown code in libgui.so>",577,1.13%,116,0.23%,577,1.14%,0,libgui.so
"        <unknown code in libbinder.so>",205,0.40%,20,0.04%,205,0.40%,0,libbinder.so
"          <unknown code in libc.so>",177,0.35%,177,0.35%,177,0.35%,0,libc.so
"          <unknown code in libutils.so>",6,0.01%,6,0.01%,6,0.01%,0,libutils.so
"          <unknown code in libc++.so>",1,< 0.01%,,,1,< 0.01%,0,libc++.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libgui.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libgui.so
"        <unknown code in libui.so>",146,0.29%,23,0.05%,146,0.29%,0,libui.so
"          <unknown code in libc.so>",45,0.09%,44,0.09%,45,0.09%,0,libc.so
"            <unknown code in linker64>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,linker64
"          <unknown code in libsync.so>",38,0.07%,3,< 0.01%,38,0.07%,0,libsync.so
"            <unknown code in libc.so>",35,0.07%,35,0.07%,35,0.07%,0,libc.so
"          <unknown code in android.hardware.graphics.mapper@4.0.so>",27,0.05%,3,< 0.01%,27,0.05%,0,android.hardware.graphics.mapper@4.0.so
"            <unknown code in android.hardware.graphics.mapper@4.0-impl.so>",22,0.04%,10,0.02%,22,0.04%,0,android.hardware.graphics.mapper@4.0-impl.so
"              <unknown code in libgralloctypes.so>",6,0.01%,2,< 0.01%,6,0.01%,0,libgralloctypes.so
"                <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"                <unknown code in libc++.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc++.so
"                <unknown code in libhidlbase.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libhidlbase.so
"              <unknown code in libhidlbase.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libhidlbase.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"              <unknown code in libc++.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"            <unknown code in libcutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libcutils.so
"            <unknown code in libhidlbase.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libhidlbase.so
"          <unknown code in libgralloctypes.so>",12,0.02%,4,< 0.01%,12,0.02%,0,libgralloctypes.so
"            <unknown code in libc++.so>",4,< 0.01%,2,< 0.01%,4,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"            <unknown code in libhidlbase.so>",3,< 0.01%,1,< 0.01%,3,< 0.01%,0,libhidlbase.so
"              <unknown code in libc++.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libhidlbase.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libhidlbase.so
"        <unknown code in libutils.so>",43,0.08%,24,0.05%,43,0.08%,0,libutils.so
"          <unknown code in libgui.so>",13,0.03%,5,< 0.01%,13,0.03%,0,libgui.so
"            <unknown code in libc++.so>",4,< 0.01%,,,4,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"            <unknown code in libui.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libui.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"            <unknown code in libutils.so>",1,< 0.01%,,,1,< 0.01%,0,libutils.so
"              <unknown code in libandroid_runtime.so>",1,< 0.01%,,,1,< 0.01%,0,libandroid_runtime.so
"                <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"          <unknown code in libc.so>",3,< 0.01%,,,3,< 0.01%,0,libc.so
"            <unknown code in [vdso]>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,[vdso]
"          <unknown code in libandroid_runtime.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libandroid_runtime.so
"          <unknown code in libc++.so>",1,< 0.01%,,,1,< 0.01%,0,libc++.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libc++.so>",34,0.07%,9,0.02%,34,0.07%,0,libc++.so
"          <unknown code in libc.so>",25,0.05%,25,0.05%,25,0.05%,0,libc.so
"        <unknown code in libc.so>",24,0.05%,24,0.05%,24,0.05%,0,libc.so
"        <unknown code in libandroid_runtime.so>",9,0.02%,9,0.02%,9,0.02%,0,libandroid_runtime.so
"      <unknown code in android.hardware.graphics.mapper@4.0.so>",125,0.25%,5,< 0.01%,125,0.25%,0,android.hardware.graphics.mapper@4.0.so
"        <unknown code in android.hardware.graphics.mapper@4.0-impl.so>",117,0.23%,26,0.05%,117,0.23%,0,android.hardware.graphics.mapper@4.0-impl.so
"          <unknown code in libc++.so>",28,0.06%,7,0.01%,28,0.06%,0,libc++.so
"            <unknown code in libc.so>",21,0.04%,21,0.04%,21,0.04%,0,libc.so
"          <unknown code in libgralloctypes.so>",25,0.05%,12,0.02%,25,0.05%,0,libgralloctypes.so
"            <unknown code in libc++.so>",5,< 0.01%,1,< 0.01%,5,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"            <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"            <unknown code in libhidlbase.so>",4,< 0.01%,,,4,< 0.01%,0,libhidlbase.so
"              <unknown code in libc++.so>",3,< 0.01%,,,3,< 0.01%,0,libc++.so
"                <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libGLES_mali.so>",16,0.03%,,,16,0.03%,0,libGLES_mali.so
"            <unknown code in libgralloctypes.so>",16,0.03%,5,< 0.01%,16,0.03%,0,libgralloctypes.so
"              <unknown code in libhidlbase.so>",7,0.01%,6,0.01%,7,0.01%,0,libhidlbase.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"              <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libc++.so>",1,< 0.01%,,,1,< 0.01%,0,libc++.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"          <unknown code in libc.so>",15,0.03%,15,0.03%,15,0.03%,0,libc.so
"          <unknown code in android.hardware.graphics.mapper@4.0.so>",4,< 0.01%,1,< 0.01%,4,< 0.01%,0,android.hardware.graphics.mapper@4.0.so
"            <unknown code in libcutils.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libcutils.so
"              <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"            <unknown code in libGLES_mali.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libGLES_mali.so
"          <unknown code in libhidlbase.so>",3,< 0.01%,,,3,< 0.01%,0,libhidlbase.so
"            <unknown code in libc++.so>",3,< 0.01%,1,< 0.01%,3,< 0.01%,0,libc++.so
"              <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"        <unknown code in libcutils.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libcutils.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"      <unknown code in libhidlbase.so>",13,0.03%,6,0.01%,13,0.03%,0,libhidlbase.so
"        <unknown code in libc.so>",7,0.01%,7,0.01%,7,0.01%,0,libc.so
"      <unknown code in libnativewindow.so>",8,0.02%,4,< 0.01%,8,0.02%,0,libnativewindow.so
"        <unknown code in libgui.so>",4,< 0.01%,3,< 0.01%,4,< 0.01%,0,libgui.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"      <unknown code in libcutils.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libcutils.so
"        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"      <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"    <unknown code in libUnreal.so>",53,0.10%,,,53,0.10%,0,libUnreal.so
"      <unknown code in libGLES_mali.so>",53,0.10%,34,0.07%,53,0.10%,0,libGLES_mali.so
"        <unknown code in libc.so>",19,0.04%,19,0.04%,19,0.04%,0,libc.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  RenderThread 0 #353","7,428",14.61%,,,"7,428",14.63%,,-
"    <unknown code in libc.so>","7,425",14.60%,,,"7,425",14.63%,0,libc.so
